component,value,count
density,0,4314
density,0.1,4750
density,0.2,4670
density,0.3,5017
density,0.4,5359
density,0.5,5713
density,0.6,6091
density,0.7,6550
density,0.8,6731
density,0.9,7179
density,1,7109
density,1.1,7403
density,1.2,7424
density,1.3,7327
density,1.4,7407
density,1.5,7366
density,1.6,7386
density,1.7,7363
density,1.8,7199
density,1.9,6961
density,2,6959
density,2.1,6527
density,2.2,6526
density,2.3,6220
density,2.4,6176
density,2.5,5837
density,2.6,5668
density,2.7,5225
density,2.8,5057
density,2.9,4983
density,3,4761
density,3.1,4535
density,3.2,4164
density,3.3,4134
density,3.4,3891
density,3.5,3743
density,3.6,3548
density,3.7,3420
density,3.8,3432
density,3.9,3278
density,4,3092
density,4.1,2811
density,4.2,2924
density,4.3,2726
density,4.4,2658
density,4.5,2581
density,4.6,2381
density,4.7,2337
density,4.8,2277
density,4.9,2320
density,5,2081
density,5.1,2120
density,5.2,1949
density,5.3,1884
density,5.4,1822
density,5.5,1873
density,5.6,1733
density,5.7,1653
density,5.8,1582
density,5.9,1510
density,6,1501
density,6.1,1492
density,6.2,1361
density,6.3,1440
density,6.4,1309
density,6.5,1239
density,6.6,1293
density,6.7,1196
density,6.8,1151
density,6.9,1065
density,7,1060
density,7.1,1109
density,7.2,1042
density,7.3,1014
density,7.4,1012
density,7.5,966
density,7.6,911
density,7.7,892
density,7.8,862
density,7.9,843
density,8,898
density,8.1,821
density,8.2,733
density,8.3,759
density,8.4,732
density,8.5,724
density,8.6,716
density,8.7,675
density,8.8,634
density,8.9,639
density,9,581
density,9.1,638
density,9.2,591
density,9.3,563
density,9.4,552
density,9.5,542
density,9.6,546
density,9.7,526
density,9.8,496
density,9.9,522
density,10,475
density,10.1,453
density,10.2,451
density,10.3,465
density,10.4,461
density,10.5,410
density,10.6,410
density,10.7,401
density,10.8,393
density,10.9,360
density,11,363
density,11.1,373
density,11.2,345
density,11.3,326
density,11.4,323
density,11.5,327
density,11.6,351
density,11.7,270
density,11.8,287
density,11.9,300
density,12,252
density,12.1,281
density,12.2,286
density,12.3,259
density,12.4,275
density,12.5,228
density,12.6,214
density,12.7,245
density,12.8,196
density,12.9,198
density,13,221
density,13.1,205
density,13.2,202
density,13.3,230
density,13.4,212
density,13.5,203
density,13.6,180
density,13.7,188
density,13.8,204
density,13.9,185
density,14,200
density,14.1,181
density,14.2,180
density,14.3,187
density,14.4,204
density,14.5,165
density,14.6,154
density,14.7,172
density,14.8,195
density,14.9,126
density,15,158
density,15.1,139
density,15.2,153
density,15.3,126
density,15.4,127
density,15.5,114
density,15.6,106
density,15.7,128
density,15.8,118
density,15.9,104
density,16,109
density,16.1,122
density,16.2,139
density,16.3,108
density,16.4,133
density,16.5,108
density,16.6,107
density,16.7,88
density,16.8,100
density,16.9,97
density,17,104
density,17.1,86
density,17.2,101
density,17.3,84
density,17.4,82
density,17.5,87
density,17.6,63
density,17.7,86
density,17.8,81
density,17.9,87
density,18,70
density,18.1,66
density,18.2,87
density,18.3,74
density,18.4,105
density,18.5,80
density,18.6,63
density,18.7,54
density,18.8,75
density,18.9,84
density,19,81
density,19.1,59
density,19.2,48
density,19.3,52
density,19.4,75
density,19.5,59
density,19.6,74
density,19.7,49
density,19.8,50
density,19.9,79
density,20,59
density,20.1,76
density,20.2,35
density,20.3,48
density,20.4,52
density,20.5,39
density,20.6,34
density,20.7,62
density,20.8,66
density,20.9,65
density,21,47
density,21.1,34
density,21.2,61
density,21.3,70
density,21.4,64
density,21.5,43
density,21.6,36
density,21.7,37
density,21.8,39
density,21.9,73
density,22,48
density,22.1,46
density,22.2,33
density,22.3,38
density,22.4,29
density,22.5,49
density,22.6,34
density,22.7,37
density,22.8,44
density,22.9,35
density,23,63
density,23.1,45
density,23.2,41
density,23.3,45
density,23.4,29
density,23.5,28
density,23.6,51
density,23.7,36
density,23.8,51
density,23.9,34
density,24,32
density,24.1,21
density,24.2,36
density,24.3,24
density,24.4,21
density,24.5,40
density,24.6,24
density,24.7,32
density,24.8,34
density,24.9,21
density,25,26
density,25.1,35
density,25.2,25
density,25.3,27
density,25.4,27
density,25.5,20
density,25.6,39
density,25.7,42
density,25.8,27
density,25.9,24
density,26,41
density,26.1,24
density,26.2,13
density,26.3,20
density,26.4,33
density,26.5,17
density,26.6,28
density,26.7,36
density,26.8,22
density,26.9,16
density,27,45
density,27.1,19
density,27.2,6
density,27.3,33
density,27.4,9
density,27.5,27
density,27.6,22
density,27.7,6
density,27.8,39
density,27.9,26
density,28,23
density,28.1,23
density,28.2,34
